genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
Armatimonas rosea,685828,YO-36,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,,62.4,,AB529679,54.9,20.0,32.5,30.0,35.0,40.0,20.0
Rhodopseudomonas telluris,644215,TUT3615,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,,66.3,,AB498822,55.2,25.0,32.5,30.0,35.0,40.0,15.0
Agaricicola taiwanensis,591372,CC-SBABM117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Agaricicola,,62.7,,FJ594057,55.6,20.0,32.5,30.0,35.0,40.0,20.0
Jeotgalicoccus halophilus,586411,C1-52,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,,41.2,,FJ386517,52.8,4.0,32.5,30.0,35.0,40.0,36.0
Bacillus hemicentroti,582442,SW-72,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,38.8,,HM460885,55.3,5.0,32.5,30.0,35.0,40.0,35.0
Dongia mobilis,578943,LM22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,,65.6,,FJ455532,55.8,20.0,32.5,30.0,35.0,40.0,20.0
Salinisphaera hydrothermalis,563188,EPR70,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,,64.0,,EU740416,54.9,20.0,32.5,30.0,35.0,40.0,20.0
Rhodovastum atsumiense,504468,G2-11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodovastum,,67.8,,AB381935,58.4,20.0,32.5,30.0,35.0,40.0,20.0
Halomonas johnsoniae,502832,T68687,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,64.4,,AM941399,55.9,10.0,32.5,30.0,35.0,40.0,30.0
Halomonas hamiltonii,502829,W1025,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,64.6,,AM941396,56.2,10.0,32.5,30.0,35.0,40.0,30.0
Halomonas stevensii,502821,S18214,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,62.0,,AM941388,56.4,10.0,32.5,30.0,35.0,40.0,30.0
Marinobacter lacisalsi,475979,FP2.5,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,58.6,,EU047505,55.4,20.0,32.5,30.0,35.0,40.0,20.0
Bacteroides graminisolvens,477666,XDT-1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,38.0,,AB363973,51.1,5.0,32.5,30.0,35.0,40.0,35.0
Spongiibacter tropicus,454602,CL-CB221,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,,57.8,,EF988653,54.2,10.0,32.5,30.0,35.0,40.0,30.0
Maritalea myrionectae,454601,CL-SK30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Maritalea,GCA_003433515.1,52.4,3.7,EF988631,54.3,10.0,32.5,30.0,35.0,40.0,30.0
Simiduia agarivorans,447471,SA1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Simiduia,GCA_000305785.2,55.8,4.3,EF617350,54.8,15.0,32.5,30.0,35.0,40.0,25.0
Kushneria avicenniae,402385,MW2a,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Kushneria,,61.5,,DQ888315,58.0,12.0,32.5,30.0,35.0,40.0,28.0
Pseudenhygromyxa salsuginis,442868,SYR-2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Pseudenhygromyxa,,69.7,,AB600195,57.4,18.0,32.5,30.0,35.0,40.0,22.0
Tenacibaculum aiptasiae,426481,a4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,35.0,,EF416572,49.1,8.0,32.5,30.0,35.0,40.0,32.0
Anaerobacillus alkalilacustris,393763,Z-0521,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,,36.2,,DQ675454,54.0,18.0,32.5,30.0,35.0,40.0,22.0
Deinococcus roseus,392414,TDMA-uv51,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,57.4,,AB264136,55.0,18.0,32.5,30.0,35.0,40.0,22.0
Maribius pelagius,387096,B5-6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maribius,,66.7,,DQ514326,55.3,10.0,32.5,30.0,35.0,40.0,30.0
Bowmanella denitrificans,366582,BD1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bowmanella,,50.0,,DQ343294,54.3,10.0,32.5,30.0,35.0,40.0,30.0
Chitinilyticum aquatile,362520,c14,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chitinilyticum,,69.5,,DQ314581,54.7,15.0,32.5,30.0,35.0,40.0,25.0
Runella defluvii,370973,EMB13,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,,40.1,,DQ372980,51.8,15.0,32.5,30.0,35.0,40.0,25.0
Citreimonas salinaria,321339,CL-SP20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Citreimonas,,67.3,,AY962295,56.2,15.0,32.5,30.0,35.0,40.0,25.0
Paenibacillus xinjiangensis,306544,B538,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,47.0,,AY839868,54.4,10.0,32.5,30.0,35.0,40.0,30.0
Idiomarina seosinensis,281739, CL-SP19,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,45.0,,AY635468,54.0,4.0,32.5,30.0,35.0,40.0,36.0
Dechloromonas denitrificans,281362,MH21,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,,42.6,,AJ318917,55.7,5.0,32.5,30.0,35.0,40.0,35.0
Nesterenkonia aethiopica,269144,DSM 17733,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,,69.0,,AY574575,57.5,25.0,32.5,30.0,35.0,40.0,15.0
Bacillus hwajinpoensis,208199,SW-72,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,40.9,,AF541966,55.5,10.0,32.5,30.0,35.0,40.0,30.0
Rhizomicrobium palustre,189966,A48,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,,54.4,,AB081581,55.7,15.0,32.5,30.0,35.0,40.0,25.0
Paenibacillus anaericanus,170367,MH21,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,42.6,,AJ318909,54.4,5.0,32.5,30.0,35.0,40.0,35.0
Halodesulfovibrio aestuarii,126333,Sylt3,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Halodesulfovibrio,,46.2,,FJ655909,53.8,15.0,32.5,30.0,35.0,40.0,25.0
Methylobacter whittenburyi,39770,Y,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,,52.0,,NR_029242,53.8,15.0,32.5,30.0,35.0,40.0,25.0
Paracoccus versutus,34007,A2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,67.5,,Y16932,56.7,17.0,32.5,30.0,35.0,40.0,23.0
Ureaplasma urealyticum,2130,T960,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,GCA_000021265.1,25.8,0.9,M23935,45.6,20.0,32.5,30.0,35.0,40.0,20.0
Persicobacter diffluens,981,B-1 Lewin,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Persicobacteraceae,Persicobacter,,42.4,,AB260934,52.4,15.0,32.5,30.0,35.0,40.0,25.0
Lactobacillus plajomi,1457217,NB53,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,45.7,,AB907190,51.9,15.0,32.5,30.0,35.0,40.0,25.0
Methylobacillus methanolivorans,1848927,Z,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,,51.5,,KX057479,52.7,10.0,32.0,29.0,35.0,40.0,30.0
Flavobacterium silvisoli,2529433,RD-2-33,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,38.6,,MK272785,50.6,15.0,31.5,28.0,35.0,40.0,25.0
Nocardioides pelophilus,2172019,THG-T63,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,74.6,,KY287247,57.2,10.0,31.5,28.0,35.0,40.0,30.0
Dactylosporangium solaniradicis,1758122,NEAU-FJL2,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,,,,KT208368,59.7,15.0,31.5,28.0,35.0,40.0,25.0
Pseudonocardia thailandensis,1701089,CMU-NKS-70,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,71.9,,LC073313,59.4,15.0,31.5,28.0,35.0,40.0,25.0
Bounagaea algeriensis,1476748,H8,Bacteria,Actinobacteria,Actinobacteria,,,Bounagaea,,71.3,,KF981441,61.3,20.0,31.5,28.0,35.0,40.0,20.0
Vibrio variabilis,990271,R-40492,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,46.8,,GU929924,53.8,15.0,31.5,28.0,35.0,40.0,25.0
Brachybacterium phenoliresistens,396014,phenol-A,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,,70.8,,DQ822566,56.7,4.0,31.5,28.0,35.0,40.0,36.0
Staphylococcus saprophyticus,29385,S‐41,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000010125.1,33.1,2.6,D83371,51.5,10.0,31.5,28.0,35.0,40.0,30.0
Chitinophaga humicola,2072567,Ktm-2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,,52.1,,MF405103,51.9,15.0,30.0,25.0,35.0,40.0,25.0
Tessaracoccus terricola,2069302,Brt-A,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,,68.1,,MF405099,57.1,15.0,30.0,25.0,35.0,40.0,25.0
Microvirga soli,1854496,R491,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,,61.8,,KX247636,56.9,15.0,30.0,25.0,35.0,40.0,25.0
Niabella hibiscisoli,1825928,THG-DN5.5,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,,43.1,,KU505213,50.5,4.0,30.0,25.0,35.0,40.0,36.0
Geodermatophilus bullaregiensis,1564160,BMG841 ,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,,,LN626271,60.1,10.0,30.0,25.0,35.0,40.0,30.0
Niabella pedocola,1752077,R384,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,,44.7,,KT032154,50.4,15.0,30.0,25.0,35.0,40.0,25.0
Geodermatophilus dictyosporus,1523247,G-5,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,75.3,,HF970584,59.7,10.0,30.0,25.0,35.0,40.0,30.0
Gaetbulibacter aestuarii,1502358, KYW382,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gaetbulibacter,,32.4,,GU552681,51.1,10.0,30.0,25.0,35.0,40.0,30.0
Gynuella sunshinyii,1445505,YC6258,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Gynuella,GCA_000940805.1,48.6,6.5,KC213486,54.5,10.0,30.0,25.0,35.0,40.0,30.0
Geodermatophilus amargosae,1296565,G12,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,73.0,,HF679056,60.2,25.0,30.0,25.0,35.0,40.0,15.0
Derxia lacustris,764842,HL-12,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia,,72.0,,HM046412,54.5,15.0,30.0,25.0,35.0,40.0,25.0
Phenylobacterium muchangponense,760012,A8,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,72.3,,HM047736,56.2,15.0,30.0,25.0,35.0,40.0,25.0
Delftia litopenaei,747302,wsw-7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,,67.6,,GU721027,55.1,4.0,30.0,25.0,35.0,40.0,36.0
Flavobacterium croceum,370975,EMB47,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,40.8,,DQ372982,50.7,10.0,30.0,25.0,35.0,40.0,30.0
Flavobacterium filum,370974,EMB34,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.2,,DQ372981,51.5,10.0,30.0,25.0,35.0,40.0,30.0
Oceanobacillus picturae,171693,DSM 14867,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,39.5,,AJ315060,54.6,5.0,30.0,25.0,35.0,40.0,35.0
Virgibacillus necropolis,163877,LMG 19488,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,GCA_002224365.1,37.3,4.3,AJ315056,54.6,10.0,30.0,25.0,35.0,40.0,30.0
Staphylococcus xylosus,1288,KL162,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000709415.1,32.9,2.8,D83374,51.2,10.0,30.0,25.0,35.0,40.0,30.0
Geodermatophilus telluris,1190417,CF9/1/1,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,75.4,,HE815469,60.5,15.0,27.5,20.0,35.0,40.0,25.0
Serratia vespertilionis,1521428,52,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,,53.5,,KJ739885,54.6,4.0,27.5,20.0,35.0,40.0,36.0
Stenotrophobacter terrae,1458337,Ac_28_D10,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,,58.5,,KF840371,50.7,17.0,31.55,28.6,34.5,40.0,23.4
Amphritea atlantica,355243,M41,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,,52.2,,AM156910,53.9,4.0,32.5,31.0,34.0,40.0,36.0
Sphaerochaeta associata,1129264,GLS2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,,47.2,,JN944166,61.3,20.0,32.0,30.0,34.0,40.0,20.0
Haliangium ochraceum,80816,SMP-2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Haliangium,GCA_000024805.1,69.5,9.4,AB016469,56.8,20.0,32.0,30.0,34.0,40.0,20.0
Tissierella creatinophila,79681,KRE 4,Bacteria,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Tissierella,,30.0,,X80227,51.5,10.0,32.0,30.0,34.0,40.0,30.0
Pelobacter acetylenicus,29542,WoAcy 1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,GCA_001888165.1,57.4,3.2,X70955,56.2,15.0,31.0,28.0,34.0,40.0,25.0
Amycolatopsis samaneae,664691,RM287,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,71.7,,GQ381310,57.9,16.0,29.5,25.0,34.0,40.0,24.0
Methanoregula formicica,882104,SMSP,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,GCA_000327485.1,55.2,2.8,AB479390,56.0,10.0,31.5,30.0,33.0,40.0,30.0
Flavobacterium suaedae,1767027,G16-7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.2,,KT284905,50.5,15.0,31.5,30.0,33.0,40.0,25.0
Pontibacter locisalis,1719035,Sy30,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,47.7,,KR080555,57.1,15.0,31.5,30.0,33.0,40.0,25.0
Ponticoccus marisrubri,1685382,SJ5A-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ponticoccus,,68.0,,KP726358,55.6,15.0,31.5,30.0,33.0,40.0,25.0
Fermentibacillus polygoni,1652104,IEB3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fermentibacillus,,49.1,,LC054227,54.5,12.0,31.5,30.0,33.0,40.0,28.0
Bacillus depressus,1602942,BZ1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,44.5,,KP259553,54.7,6.0,31.5,30.0,33.0,40.0,34.0
Kushneria pakistanensis,1508770,NCCP-934,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Kushneria,,59.2,,AB970675,57.6,10.0,31.5,30.0,33.0,40.0,30.0
Belliella buryatensis,1500549,5C,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Belliella,,57.0,,LK021687,52.1,21.0,31.5,30.0,33.0,40.0,19.0
Salipiger bermudensis,344736,HTCC2601,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Salipiger,,65.4,,DQ178660,55.3,10.0,31.5,30.0,33.0,40.0,30.0
Fangia hongkongensis,270495,UST040201-002,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Fangia,,53.9,,AB176554,50.9,16.0,31.5,30.0,33.0,40.0,24.0
Acetonema longum,2374,APO-1,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Acetonema,,51.5,,AJ010964,54.8,19.0,31.5,30.0,33.0,40.0,21.0
Agarilytica rhodophyticola,1737490,17,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica,GCA_002157225.2,41.0,7.1,KR610527,53.7,15.0,30.5,28.0,33.0,40.0,25.0
Ktedonobacter racemifer,363277, SOSP1-21,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter,,,,AM180156,57.6,17.0,30.5,28.0,33.0,40.0,23.0
Lysobacter antibioticus,84531,UASM 3C,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,GCA_001442535.1,66.8,5.8,AB019582,55.3,2.0,29.0,25.0,33.0,40.0,38.0
Oceanisphaera psychrotolerans,1414654,LAM-WHM-ZC,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanisphaera,,59.3,,KF418814,55.8,4.0,26.5,20.0,33.0,40.0,36.0
Acidovorax carolinensis,553814,NA3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,GCA_002157145.1,64.2,4.1,EU910093,53.9,4.0,31.25,30.0,32.5,40.0,36.0
Acidicapsa ferrireducens,1335629,MCF9,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidicapsa,,60.0,,KC662255,55.9,10.0,31.0,30.0,32.0,40.0,30.0
Acidicapsa acidiphila,1335627,MCF10,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidicapsa,,59.7,,KF017280,55.7,10.0,31.0,30.0,32.0,40.0,30.0
Roseomonas vinacea,424704,CPCC 100056,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,67.3,,EF368368,58.3,4.0,31.0,30.0,32.0,40.0,36.0
Lentibacillus lacisalsi,284575,BH260,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,,44.0,,AY667497,55.2,15.0,31.0,30.0,32.0,40.0,25.0
Curvibacter delicatus,80879,IAM 14955,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,,62.0,,AF078756,54.1,9.0,31.0,30.0,32.0,40.0,31.0
Methylarcula terricola,72023,h37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Methylarcula,,57.1,,AF030436,56.0,10.0,30.5,29.0,32.0,40.0,30.0
Hydrocarboniclastica marina,2259620,Soil36-7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Hydrocarboniclastica,GCA_004851605.1,58.0,4.3,MH572220,55.8,4.0,30.0,28.0,32.0,40.0,36.0
Leeuwenhoekiella nanhaiensis,1655491,G18,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,,35.0,,KR809379,50.6,4.0,30.0,28.0,32.0,40.0,36.0
Streptomyces polygonati,1617087,NEAU-G9,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,70.7,,KF195922,59.2,24.0,30.0,28.0,32.0,40.0,16.0
Luteimonas notoginsengisoli,1578200,SYP-B804,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,,71.0,,KP076295,55.7,15.0,30.0,28.0,32.0,40.0,25.0
Gordonia jinhuaensis,1517702,ZYR 51,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,,67.7,,KJ700483,57.5,10.0,30.0,28.0,32.0,40.0,30.0
Streptomyces malaysiense,1428626,MUSC 136,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,72.3,,KJ632663,59.0,26.0,30.0,28.0,32.0,40.0,14.0
Paenibacillus eucommiae,1355755,CPCC 100226,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,47.9,,KC589216,54.7,10.0,30.0,28.0,32.0,40.0,30.0
Echinimonas agarilytica,1215918,KMM 6351,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Echinimonas,,46.1,,JX072970,52.7,4.0,30.0,28.0,32.0,40.0,36.0
Lysinibacillus tabacifolii,1173107,K3514,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,,36.5,,JQ754706,53.0,8.0,30.0,28.0,32.0,40.0,32.0
Draconibacterium orientale,1168034,MK-7,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,GCA_000626635.1,41.3,5.1,JQ683778,50.7,20.0,30.0,28.0,32.0,40.0,20.0
Tepidibacter mesophilus,655607,B1,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Tepidibacter,,29.8,,GQ231514,52.5,10.0,30.0,28.0,32.0,40.0,30.0
Agromyces flavus,589382,CPCC 202695,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,,70.9,,FJ529717,57.0,10.0,30.0,28.0,32.0,40.0,30.0
Thioalbus denitrificans,547122,Su4,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalbus,,64.5,,EU837269,57.3,10.0,30.0,28.0,32.0,40.0,30.0
Kitasatospora kazusensis,407974,SK60,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora,,70.7,,AB278569,58.4,15.0,30.0,28.0,32.0,40.0,25.0
Kitasatospora arboriphila,258052,HKI 0189,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora,,,,AY442267,59.4,15.0,30.0,28.0,32.0,40.0,25.0
Kitasatospora terrestris,258051,HKI 0186,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora,,,,AY442266,58.9,15.0,30.0,28.0,32.0,40.0,25.0
Marivirga tractuosa,1006,H-43,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marivirga,GCA_000183425.1,35.5,4.5,AB078072,52.1,10.0,30.0,28.0,32.0,40.0,30.0
Microvirgula curvata,1817962,L6,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Microvirgula,,61.2,,LT545978,56.7,10.0,29.5,27.0,32.0,40.0,30.0
Geodermatophilus ruber,504800,CPCC 201356,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,72.8,,EU438905,60.1,10.0,26.0,20.0,32.0,40.0,30.0
Archangium gephyra,48,M18,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,GCA_001027285.1,69.4,12.5,M94273,53.4,18.0,25.0,18.0,32.0,40.0,22.0
Vicinamibacter silvestris,1612172,Ac_5_C6,Bacteria,Acidobacteria,Vicinamibacteria,,Vicinamibacteraceae,Vicinamibacter,,65.9,,KP761690,57.4,12.0,28.3,25.5,31.1,40.0,28.0
Nibribacter flagellatus,2664424,THG-T16,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Nibribacter,,46.7,,KY287248,56.1,10.0,29.0,28.0,30.0,40.0,30.0
Ilyomonas limi,2575867,17mud1-8,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Panacibacter,,40.9,,MF033384,50.4,10.0,29.0,28.0,30.0,40.0,30.0
Actinotalea solisilvae,2072922, KCTC 29134,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Actinotalea,,72.4,,KY287246,58.7,10.0,29.0,28.0,30.0,40.0,30.0
Paenibacillus solanacearum,2048548,T16R-228,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,56.8,,KU379666,56.0,15.0,29.0,28.0,30.0,40.0,25.0
Agaribacterium haliotis,2013869,feces2,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agaribacterium,,50.5,,KY400200,53.6,16.0,29.0,28.0,30.0,40.0,24.0
Defluviimonas nitratireducens,1928646,DL5-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,,63.8,,KF146513,55.3,8.0,29.0,28.0,30.0,40.0,32.0
Lysobacter solanacearum,1929097,T20R-70,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,63.0,,KU379668,56.1,10.0,29.0,28.0,30.0,40.0,30.0
